,Title,Published_date,Views,Likes,Comments,Month
195,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,43805,901,154,Apr
196,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,71974,1881,213,Apr
197,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,80116,1753,277,Apr
198,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,127204,3471,621,Apr
199,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,195556,4993,174,Apr
200,When Data Science Goes Wrong,2020-03-30,1802,105,32,Mar
201,How to ULTRALEARN Data Science,2020-03-27,61817,3821,169,Mar
202,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4413,267,50,Mar
203,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12893,463,45,Mar
204,The Secret Data Scientists Don't Want You to Know,2020-03-16,10739,1138,103,Mar
205,The 5 Stages of Learning Data Science,2020-03-13,17468,1296,78,Mar
206,Can You Learn Data Science Without a Computer?,2020-03-11,1679,114,14,Mar
207,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,345693,21194,623,Mar
208,The Data Science Projects that Got Me a Job,2020-03-06,40802,1397,41,Mar
209,How to Integrate Data Science into Your Business,2020-03-02,3375,129,18,Mar
210,The Problem with Data Science,2020-02-28,3784,154,19,Feb
211,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1164,46,16,Feb
212,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,126435,2435,97,Feb
213,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,325027,17718,525,Feb
214,Data Science Advice for College Students,2020-02-14,68860,1963,197,Feb
215,Avoid These Data Science Resume Mistakes!,2020-02-10,28305,1241,62,Feb
216,Data Science Explained with ... Cooking?,2020-02-07,5271,314,48,Feb
217,The 4 Types of Sports Analytics Projects,2020-02-03,30811,1008,62,Feb
218,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,583,18,13,Jan
219,How I Learned Data Science,2020-01-27,94055,2695,210,Jan
220,What is Sports Analytics Really?,2020-01-20,21114,612,73,Jan
221,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110944,3133,584,Jan
222,How To Learn Programming for Data Science [3 Steps],2020-01-13,30068,1979,96,Jan
223,Data Science Fundamentals: SQL Queries,2020-01-10,6412,214,35,Jan
224,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3138,151,14,Jan
225,The 9 Books That Changed My Perspective in 2019,2020-01-03,3388,179,25,Jan
226,The Data Science Interview: What to Expect,2019-12-30,8504,379,32,Dec
227,5 Data Science Resolutions for 2020,2019-12-27,474,25,12,Dec
228,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16619,582,93,Dec
229,Collision Course: Sports Betting + Data Science,2019-12-20,17675,494,27,Dec
230,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100929,2938,204,Dec
231,5 Sports Analytics Books to Get You Started,2019-12-13,10805,411,59,Dec
232,Math Needed for Mastering Data Science,2019-12-09,56552,2869,222,Dec
233,The 5 Stages of Data Science Adoption,2019-12-06,1325,69,17,Dec
234,How YOU Can Land a Sports Analytics Job,2019-12-02,69222,3068,231,Dec
235,Data Science Fundamentals: Linear Regression,2019-11-29,6341,172,42,Nov
236,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1081,53,12,Nov
237,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6051,271,26,Nov
238,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46172,1758,80,Nov
239,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5929,137,31,Nov
240,Why Selling Is An Important Data Science Skill,2019-11-04,1628,81,13,Nov
241,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2834,73,18,Oct
242,Why is Balance Important in Data Science?,2019-10-16,702,32,13,Oct
243,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11873,584,54,Sep
244,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3846,116,33,Sep
245,6 Habits of Successful Data Scientists,2019-09-13,2217,95,17,Sep
246,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4608,102,9,Sep
247,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,519,24,29,Aug
248,Is Data Science Right For You?,2019-08-18,50806,1180,109,Aug
249,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14861,392,55,Aug
250,How To Get Data Science Experience (Without a Job),2019-08-08,29448,1388,77,Aug
251,Take Your Data Science Projects From Good to Great,2019-08-05,1609,107,11,Aug
252,The Projects You Should Do To Get A Data Science Job,2019-07-30,150485,5704,255,Jul
253,What Does a Data Scientist Actually Do?,2019-07-19,46205,1268,81,Jul
254,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12931,353,43,Jul
255,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17858,527,61,Jul
256,Data Science: Pros and Cons,2019-06-30,5229,216,18,Jun
257,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24693,1196,89,Jun
258,My Top 5 Data Science Internship Tips,2019-06-15,11887,496,23,Jun
259,Golf STATS: Strokes Gained Explained,2019-06-07,7481,154,28,Jun
260,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,616,45,5,May
261,What I Learned From My Three Degrees,2019-05-17,1261,61,12,May
262,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25665,1072,66,May
263,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1251,40,2,May
264,Should You Learn R for Data Science?,2019-04-25,20983,562,71,Apr
265,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46388,856,331,Apr
266,Work From Home Data Scientist: Day in the Life,2019-04-12,28089,759,101,Apr
267,Where to Look for Data Science Jobs,2019-03-29,3011,121,9,Mar
268,Data Science: Startup vs. Large Corporation,2019-03-21,2147,74,4,Mar
269,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6155,176,26,Mar
270,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4193,180,15,Mar
271,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,806,33,12,Mar
272,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1437,36,8,Mar
273,Where YOU Should Start With Data Science Projects,2019-02-19,16861,349,17,Feb
274,Watch This Before Applying to Data Science Jobs,2019-02-04,1495,66,13,Feb
275,My Top 5 Data Science Resources for 2019,2019-01-05,3704,122,17,Jan
276,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,833,36,6,Dec
277,The Best Way to Predict NBA Minutes Played,2018-12-11,4278,107,14,Dec
278,Demystifying Data Science Roles,2018-11-30,1137,53,5,Nov
279,How to Simulate NBA Games in Python,2018-11-19,17690,390,54,Nov
280,Should You Get A Masters in Data Science?,2018-11-14,20571,305,135,Nov
281,How I Became A Data Scientist From a Business Background,2018-11-12,6465,196,23,Nov
282,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8693,192,17,Jul
283,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18927,293,41,Nov
